Date,Id,suburb,postalCode,sellPrice,bed,bath,car,propType
2017-03-29,213,Avalon Beach,2107,1460000,5.0,3,1.0,house
2017-03-27,214,Avalon Beach,2107,1700000,4.0,2,2.0,house
2017-03-25,215,Avalon Beach,2107,1870000,5.0,3,2.0,house
2017-03-21,216,Whale Beach,2107,3050000,3.0,3,3.0,house
2017-03-20,217,Bilgola Plateau,2107,1950000,4.0,2,4.0,house
2017-03-18,218,Bilgola Plateau,2107,1570000,4.0,2,2.0,house
2017-03-18,219,Avalon Beach,2107,1090000,3.0,1,1.0,house
2017-03-15,220,Avalon Beach,2107,3800000,4.0,2,3.0,house
2017-03-15,221,Clareville,2107,2265000,2.0,2,2.0,house
2017-03-14,222,Avalon Beach,2107,1300000,2.0,2,1.0,house
2017-03-11,223,Bilgola Plateau,2107,2120000,4.0,3,2.0,house
2017-03-11,224,Avalon Beach,2107,1750000,4.0,2,4.0,house
2017-03-11,225,Bilgola Plateau,2107,1600000,6.0,3,,house
2017-03-11,226,Avalon Beach,2107,1490000,3.0,2,3.0,house
2017-03-04,227,Avalon Beach,2107,2370000,3.0,2,2.0,house
2017-03-04,228,Avalon Beach,2107,1635000,4.0,2,2.0,house
2017-03-03,229,Avalon Beach,2107,1355000,3.0,1,2.0,house
2017-03-01,230,Avalon Beach,2107,1871000,4.0,3,4.0,house
2017-03-01,231,Avalon Beach,2107,1660000,3.0,1,2.0,house
2017-03-01,232,Bilgola Plateau,2107,1580000,4.0,2,2.0,house
2017-02-28,233,Avalon Beach,2107,1520000,4.0,3,2.0,house
2017-02-13,234,Avalon Beach,2107,2095000,4.0,3,2.0,house
2017-02-10,235,Avalon Beach,2107,3050000,5.0,4,2.0,house
2017-02-08,236,Bilgola Plateau,2107,1630000,4.0,2,2.0,house
2017-02-08,237,Bilgola Plateau,2107,1400000,4.0,2,2.0,house
2017-02-02,238,Avalon Beach,2107,1750000,4.0,3,1.0,house
2017-01-28,239,Avalon Beach,2107,2500000,5.0,2,2.0,house
2017-01-25,240,Avalon Beach,2107,1725000,5.0,2,1.0,house
2017-01-23,241,Whale Beach,2107,4200000,2.0,1,1.0,house
2016-12-31,242,Avalon Beach,2107,1500000,5.0,3,2.0,house
2016-12-17,243,Avalon Beach,2107,1900000,3.0,1,,house
2016-12-17,244,Avalon Beach,2107,1600000,2.0,2,,house
2016-12-17,245,Avalon Beach,2107,1460000,4.0,1,2.0,house
2016-12-17,246,Avalon Beach,2107,1350000,3.0,2,2.0,house
